<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotus.Gold.Com.ETF,20220918,100899.00,101197.00,100450.00,100910.00,355054177059,3518511,1571,D,100251.00,100800.00
Lotus.Gold.Com.ETF,20220914,100000.00,100986.00,99023.00,100251.00,502240317687,5009828,2582,D,101042.00,100052.00
Lotus.Gold.Com.ETF,20220913,100550.00,101877.00,100300.00,101041.00,490571613989,4855162,3005,D,98945.00,101450.00
Lotus.Gold.Com.ETF,20220912,97871.00,100000.00,97871.00,98945.00,347468748640,3511722,2379,D,96970.00,99655.00
Lotus.Gold.Com.ETF,20220911,96870.00,97340.00,96600.00,96970.00,191954645114,1979518,1516,D,96359.00,97340.00
Lotus.Gold.Com.ETF,20220910,96500.00,96660.00,95913.00,96359.00,397985553647,4130220,1646,D,94997.00,96100.00
Lotus.Gold.Com.ETF,20220907,94616.00,95500.00,94610.00,94997.00,131177409639,1380856,882,D,95716.00,95452.00
Lotus.Gold.Com.ETF,20220906,95888.00,96111.00,95500.00,95716.00,128781366786,1345454,1039,D,95532.00,95593.00
Lotus.Gold.Com.ETF,20220905,96240.00,96240.00,94952.00,95532.00,161253328070,1687956,1242,D,96428.00,95091.00
Lotus.Gold.Com.ETF,20220904,96200.00,96670.00,96167.00,96428.00,155034901927,1607772,1402,D,95810.00,96480.00
Lotus.Gold.Com.ETF,20220903,95777.00,96379.00,95400.00,95810.00,367834280959,3839208,1917,D,94706.00,95579.00
Lotus.Gold.Com.ETF,20220831,94000.00,95000.00,93900.00,94706.00,209533604825,2212458,1269,D,93642.00,94379.00
Lotus.Gold.Com.ETF,20220830,93399.00,93900.00,92650.00,93642.00,183263729349,1957078,1023,D,93386.00,93602.00
Lotus.Gold.Com.ETF,20220829,93500.00,93954.00,93100.00,93386.00,111262549127,1191427,1189,D,93744.00,93220.00
Lotus.Gold.Com.ETF,20220828,93400.00,94690.00,93022.00,93744.00,235793147002,2515277,1546,D,94256.00,93900.00
Lotus.Gold.Com.ETF,20220827,94255.00,95450.00,93500.00,94256.00,965256126120,10240773,3711,D,92080.00,93663.00
Lotus.Gold.Com.ETF,20220824,92631.00,92631.00,91552.00,92080.00,174645082988,1896676,1720,D,93769.00,92300.00
Lotus.Gold.Com.ETF,20220823,94800.00,94800.00,92480.00,93769.00,292421944933,3118524,2679,D,93654.00,92580.00
Lotus.Gold.Com.ETF,20220822,93000.00,95497.00,92299.00,93654.00,831383586140,8877215,4137,D,91687.00,94798.00
Lotus.Gold.Com.ETF,20220821,90501.00,92836.00,90060.00,91687.00,292940662543,3195008,2848,D,91500.00,91918.00
