<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
256950,255940,257050,255950,1070,0.42%,2020-12-06,1399/09/16
254710,254670,257050,257020,2340,0.92%,2020-12-05,1399/09/15
254730,254640,254770,254680,1550,0.61%,2020-12-03,1399/09/13
256190,256160,256270,256230,70,0.03%,2020-12-02,1399/09/12
250070,245160,256270,256160,6130,2.45%,2020-12-01,1399/09/11
245490,245460,253050,250030,4520,1.84%,2020-11-30,1399/09/10
247560,243950,247570,245510,2020,0.82%,2020-11-29,1399/09/09
247560,247460,247570,247530,40,0.02%,2020-11-28,1399/09/08
248500,247460,248570,247570,1930,0.78%,2020-11-26,1399/09/06
250490,249500,250570,249500,960,0.38%,2020-11-25,1399/09/05
255470,250450,255560,250460,4990,1.99%,2020-11-24,1399/09/04
256030,255450,256060,255450,920,0.36%,2020-11-23,1399/09/03
258470,254450,258560,254530,5020,1.97%,2020-11-22,1399/09/02
256250,256150,260560,259550,3350,1.31%,2020-11-21,1399/09/01
256170,256150,256260,256200,20,0.01%,2020-11-19,1399/08/29
259020,256150,259020,256220,2750,1.07%,2020-11-18,1399/08/28
258960,258950,262060,258970,10,-,2020-11-17,1399/08/27
260020,258950,260060,258980,1050,0.41%,2020-11-16,1399/08/26
267480,259950,267560,260030,7500,2.88%,2020-11-15,1399/08/25
268550,267450,269560,267530,990,0.37%,2020-11-14,1399/08/24
269530,268450,269560,268520,1470,0.55%,2020-11-12,1399/08/22
271040,269950,271060,269990,1000,0.37%,2020-11-11,1399/08/21
248030,247950,271060,270990,23000,9.27%,2020-11-10,1399/08/20
234950,234950,248060,247990,13000,5.53%,2020-11-09,1399/08/19
228900,228850,235060,234990,10000,4.26%,2020-11-08,1399/08/18
263450,244950,263450,244990,18560,7.58%,2020-11-07,1399/08/17
268460,263450,268560,263550,25720,9.76%,2020-11-05,1399/08/15
282370,282350,289360,289270,6850,2.43%,2020-11-04,1399/08/14
272020,271950,282460,282420,10360,3.81%,2020-11-02,1399/08/12
268670,266950,272060,272060,3340,1.24%,2020-11-01,1399/08/11
277260,268650,277260,268720,8780,3.27%,2020-10-31,1399/08/10
277460,277450,277560,277500,970,0.35%,2020-10-29,1399/08/08
282300,278450,282360,278470,3780,1.36%,2020-10-28,1399/08/07
279770,279750,285360,282250,2390,0.85%,2020-10-27,1399/08/06
289960,279750,289990,279860,10140,3.62%,2020-10-26,1399/08/05
293820,289950,293860,290000,3750,1.29%,2020-10-24,1399/08/03
292780,292750,294860,293750,5730,1.99%,2020-10-22,1399/08/01
275470,274450,290860,288020,12560,4.56%,2020-10-21,1399/07/30
308990,275450,309060,275460,33570,12.19%,2020-10-20,1399/07/29
318450,308950,318560,309030,9530,3.08%,2020-10-19,1399/07/28
317030,316950,320060,318560,1520,0.48%,2020-10-18,1399/07/27
317000,316950,317060,317040,2040,0.65%,2020-10-15,1399/07/24
312990,312950,315860,315000,1980,0.63%,2020-10-14,1399/07/23
304040,303950,315060,313020,9060,2.98%,2020-10-13,1399/07/22
311520,301950,311560,303960,7490,2.46%,2020-10-12,1399/07/21
299480,299450,311560,311450,11890,3.97%,2020-10-11,1399/07/20
291970,291950,299560,299560,7540,2.58%,2020-10-10,1399/07/19
291990,291950,292060,292020,20,0.01%,2020-10-07,1399/07/16
281970,281950,292060,292000,10010,3.55%,2020-10-06,1399/07/15
269960,269450,282060,281990,12040,4.46%,2020-10-05,1399/07/14
284550,269950,284560,269950,14540,5.39%,2020-10-04,1399/07/13
289030,284450,289060,284490,4550,1.60%,2020-10-03,1399/07/12
287990,287990,289060,289040,1520,0.53%,2020-10-01,1399/07/10
285040,284950,287560,287520,2500,0.88%,2020-09-30,1399/07/09
289450,284950,289560,285020,4450,1.56%,2020-09-29,1399/07/08
287060,286950,289560,289470,2470,0.86%,2020-09-28,1399/07/07
285020,284950,287060,287000,1940,0.68%,2020-09-27,1399/07/06
278030,277950,287560,285060,7090,2.55%,2020-09-26,1399/07/05
278000,277950,278060,277970,10,-,2020-09-24,1399/07/03
271990,271950,278060,277980,5950,2.19%,2020-09-23,1399/07/02
269480,269450,272060,272030,2580,0.96%,2020-09-22,1399/07/01
273060,268450,273060,269450,3530,1.31%,2020-09-21,1399/06/31
264500,264450,273060,272980,8500,3.21%,2020-09-20,1399/06/30
267990,264450,268060,264480,3490,1.32%,2020-09-19,1399/06/29
266020,265950,268560,267970,1990,0.75%,2020-09-17,1399/06/27
265980,265950,266060,265980,40,0.02%,2020-09-16,1399/06/26
235850,235810,266060,266020,30100,12.76%,2020-09-15,1399/06/25
234370,234310,235920,235920,1530,0.65%,2020-09-14,1399/06/24
231620,231510,234420,234390,2820,1.22%,2020-09-13,1399/06/23
228020,227910,231620,231570,3570,1.57%,2020-09-12,1399/06/22
227910,227910,228020,228000,510,0.22%,2020-09-10,1399/06/20
227460,227410,227520,227490,30,0.01%,2020-09-09,1399/06/19
225920,225910,227520,227520,1550,0.69%,2020-09-08,1399/06/18
225950,225910,226020,225970,50,0.02%,2020-09-07,1399/06/17
224450,224410,226020,226020,1500,0.67%,2020-09-06,1399/06/16
224450,224410,224520,224520,-,-,2020-09-05,1399/06/15
225020,224410,225020,224520,2440,1.09%,2020-09-03,1399/06/13
229020,226910,229020,226960,2040,0.90%,2020-09-02,1399/06/12
231430,228910,234020,229000,2520,1.10%,2020-09-01,1399/06/11
231020,230410,231520,231520,590,0.26%,2020-08-31,1399/06/10
230980,230910,231020,230930,90,0.04%,2020-08-30,1399/06/09
231020,230910,231020,231020,1060,0.46%,2020-08-27,1399/06/06
224710,224710,230020,229960,5170,2.30%,2020-08-26,1399/06/05
224790,224710,224820,224790,30,0.01%,2020-08-25,1399/06/04
225020,224710,225020,224820,150,0.07%,2020-08-24,1399/06/03
224940,224910,225020,224970,50,0.02%,2020-08-23,1399/06/02
224970,224910,225020,225020,-,-,2020-08-22,1399/06/01
223950,223910,225020,225020,1090,0.49%,2020-08-20,1399/05/30
224960,223910,225020,223930,1090,0.49%,2020-08-19,1399/05/29
224420,224410,225520,225020,530,0.24%,2020-08-18,1399/05/28
218970,218910,224520,224490,5470,2.50%,2020-08-17,1399/05/27
218970,218910,219020,219020,1500,0.68%,2020-08-16,1399/05/26
220520,220410,220520,220520,20,0.01%,2020-08-15,1399/05/25
219520,219410,220520,220500,2480,1.14%,2020-08-13,1399/05/23
216800,216710,218020,218020,1200,0.55%,2020-08-12,1399/05/22
209930,209910,216820,216820,6910,3.29%,2020-08-11,1399/05/21
217960,207910,218020,209910,8110,3.86%,2020-08-10,1399/05/20
229980,217910,230020,218020,12000,5.50%,2020-08-09,1399/05/19
229970,229910,230020,230020,3000,1.32%,2020-08-06,1399/05/16
223020,222910,227020,227020,4060,1.82%,2020-08-05,1399/05/15
219020,218910,223020,222960,3970,1.81%,2020-08-04,1399/05/14
217000,216910,219020,218990,1970,0.91%,2020-08-03,1399/05/13
212940,212910,217020,217020,4000,1.88%,2020-08-02,1399/05/12
207940,207910,213020,213020,5000,2.40%,2020-08-01,1399/05/11
207990,207910,208020,208020,3030,1.48%,2020-07-30,1399/05/09
204930,204910,205020,204990,70,0.03%,2020-07-29,1399/05/08
205020,204910,205020,204920,10,-,2020-07-28,1399/05/07
202980,202910,205020,204910,1960,0.97%,2020-07-27,1399/05/06
202940,202910,203020,202950,70,0.03%,2020-07-26,1399/05/05
203020,202910,203020,203020,110,0.05%,2020-07-25,1399/05/04
203000,202910,203020,202910,520,0.26%,2020-07-23,1399/05/02
204430,203410,204520,203430,1090,0.54%,2020-07-22,1399/05/01
225920,204410,226020,204520,21500,10.51%,2020-07-21,1399/04/31
231020,225910,231020,226020,4930,2.18%,2020-07-20,1399/04/30
230980,230910,231020,230950,20,0.01%,2020-07-19,1399/04/29
230930,230910,231020,230970,50,0.02%,2020-07-18,1399/04/28
229520,229410,231020,231020,1610,0.70%,2020-07-16,1399/04/26
227480,227410,229520,229410,1950,0.86%,2020-07-15,1399/04/25
227430,227410,227520,227460,40,0.02%,2020-07-14,1399/04/24
225460,225410,227520,227420,1900,0.84%,2020-07-13,1399/04/23
222520,222410,225520,225520,3110,1.40%,2020-07-12,1399/04/22
221930,220410,222520,222410,390,0.18%,2020-07-11,1399/04/21
221940,221910,222020,222020,-,-,2020-07-09,1399/04/19
217460,217410,222020,222020,4500,2.07%,2020-07-08,1399/04/18
218450,216410,218520,217520,1000,0.46%,2020-07-07,1399/04/17
216460,216410,218520,218520,2050,0.95%,2020-07-06,1399/04/16
209020,208910,216520,216470,7560,3.62%,2020-07-05,1399/04/15
189470,189410,209020,208910,19390,10.23%,2020-07-04,1399/04/14
189520,189410,189520,189520,80,0.04%,2020-07-02,1399/04/12
189850,189410,189920,189440,480,0.25%,2020-07-01,1399/04/11
190440,189810,190520,189920,600,0.32%,2020-06-30,1399/04/10
190520,190410,190520,190520,90,0.05%,2020-06-29,1399/04/09
188520,188410,190520,190430,2020,1.07%,2020-06-28,1399/04/08
188520,188410,188520,188410,20,0.01%,2020-06-27,1399/04/07
