<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
278720.00,278080.00,278720.00,278240.00,400.00,0.14%,2021-12-05,1400/09/14
279730.00,278560.00,279770.00,278640.00,1110.00,0.40%,2021-12-04,1400/09/13
273260.00,273130.00,280230.00,279750.00,6510.00,2.38%,2021-12-03,1400/09/12
273240.00,273240.00,273240.00,273240.00,-,-,2021-12-02,1400/09/11
266930.00,266860.00,273290.00,273240.00,7070.00,2.66%,2021-12-01,1400/09/10
260370.00,260230.00,266270.00,266170.00,22900.00,8.60%,2021-11-30,1400/09/09
288800.00,286550.00,292840.00,289070.00,2130.00,0.74%,2021-11-29,1400/09/08
293500.00,291200.00,293500.00,291200.00,17500.00,6.39%,2021-11-28,1400/09/07
281700.00,273470.00,281700.00,273700.00,8400.00,3.07%,2021-11-27,1400/09/06
286950.00,278070.00,287090.00,282100.00,5980.00,2.12%,2021-11-26,1400/09/05
288080.00,288080.00,288080.00,288080.00,-,-,2021-11-25,1400/09/04
289400.00,287650.00,289400.00,288080.00,2940.00,1.02%,2021-11-24,1400/09/03
286720.00,286600.00,292600.00,291020.00,5010.00,1.75%,2021-11-23,1400/09/02
284980.00,283850.00,286100.00,286010.00,2140.00,0.75%,2021-11-22,1400/09/01
282530.00,281850.00,284100.00,283870.00,910.00,0.32%,2021-11-21,1400/08/30
280320.00,280130.00,283400.00,282960.00,2190.00,0.78%,2021-11-20,1400/08/29
280350.00,280030.00,281080.00,280770.00,1790.00,0.64%,2021-11-19,1400/08/28
278980.00,278980.00,278980.00,278980.00,2420.00,0.87%,2021-11-18,1400/08/27
279440.00,278730.00,279540.00,281400.00,1700.00,0.61%,2021-11-17,1400/08/26
279590.00,278890.00,279740.00,279700.00,230.00,0.08%,2021-11-16,1400/08/25
279710.00,278930.00,280370.00,279930.00,350.00,0.13%,2021-11-15,1400/08/24
283520.00,269700.00,283550.00,280280.00,4950.00,1.77%,2021-11-14,1400/08/23
286540.00,284900.00,287480.00,285230.00,1170.00,0.41%,2021-11-13,1400/08/22
