<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20231203,132760.00,133200.00,132360.00,132810.00,44643636269,336147,566,D,132403.00,133172.00
Kian.Gold.ETF,20231202,132153.00,132799.00,132000.00,132403.00,104319933399,787898,639,D,130694.00,132659.00
Kian.Gold.ETF,20231129,130500.00,130991.00,130200.00,130694.00,34338409875,262739,476,D,130076.00,130500.00
Kian.Gold.ETF,20231128,130138.00,130499.00,129902.00,130076.00,22357905711,171883,479,D,130138.00,129934.00
Kian.Gold.ETF,20231127,129800.00,130490.00,129750.00,130138.00,37116404423,285207,367,D,130171.00,130260.00
Kian.Gold.ETF,20231126,130298.00,130897.00,129911.00,130171.00,46956819501,360732,496,D,130745.00,130000.00
Kian.Gold.ETF,20231125,130500.00,131297.00,130357.00,130745.00,37738408160,288642,632,D,130113.00,130550.00
Kian.Gold.ETF,20231122,130300.00,130400.00,129530.00,130113.00,25886728930,198956,380,D,129778.00,130100.00
Kian.Gold.ETF,20231121,129270.00,130750.00,129270.00,129778.00,33663489336,259393,390,D,129196.00,129501.00
Kian.Gold.ETF,20231120,129500.00,129500.00,128500.00,129196.00,55473789703,429378,468,D,129916.00,129031.00
Kian.Gold.ETF,20231119,129701.00,130869.00,129500.00,129916.00,161343458411,1241904,427,D,130042.00,129689.00
Kian.Gold.ETF,20231118,130998.00,130998.00,130000.00,130042.00,158871783624,1221694,577,D,130600.00,130000.00
Kian.Gold.ETF,20231115,130990.00,130990.00,130203.00,130600.00,20872942261,159823,263,D,130044.00,130550.00
Kian.Gold.ETF,20231114,130304.00,130600.00,129700.00,130044.00,48530488310,373185,411,D,130488.00,130499.00
Kian.Gold.ETF,20231113,130517.00,130900.00,130264.00,130488.00,56620207759,433912,513,D,130575.00,130670.00
Kian.Gold.ETF,20231112,130520.00,131000.00,130231.00,130575.00,26619593833,203864,341,D,130518.00,130515.00
Kian.Gold.ETF,20231111,130800.00,131000.00,130120.00,130518.00,70382708838,539258,621,D,130718.00,131000.00
Kian.Gold.ETF,20231108,130000.00,131499.00,130000.00,130718.00,356308653814,2725779,761,D,130837.00,130800.00
Kian.Gold.ETF,20231107,131585.00,131585.00,130500.00,130837.00,53777498929,411028,667,D,132073.00,130661.00
Kian.Gold.ETF,20231106,132990.00,132990.00,131780.00,132073.00,43559252808,329813,563,D,133193.00,131926.00
Kian.Gold.ETF,20231105,133555.00,133555.00,132417.00,133193.00,50543122663,379473,334,D,132218.00,132850.00
Kian.Gold.ETF,20231104,132793.00,132793.00,131503.00,132218.00,565111643625,4274081,923,D,133413.00,132387.00
Kian.Gold.ETF,20231101,133000.00,133980.00,132402.00,133413.00,67342502299,504767,600,D,132727.00,133980.00
