<OPEN>,<LOW>,<HIGH>,<CLOSE>,<amount>,<perc>,<DTYYYYMMDD>,<shamsi>
"539,340","536,110","540,100","536,840",1600,0.30%,2023-05-03,1402/02/13
"531,040","530,800","539,100","535,240",5280,0.99%,2023-05-02,1402/02/12
"547,300","540,520","547,600","540,520",9990,1.85%,2023-05-01,1402/02/11
"548,860","548,800","555,600","550,510",4580,0.84%,2023-04-30,1402/02/10
"538,980","538,800","546,100","545,930",4100,0.76%,2023-04-29,1402/02/09
"534,320","534,300","545,100","541,830",9000,1.69%,2023-04-28,1402/02/08
"532,960","532,830","533,090","532,830",-,-,2023-04-27,1402/02/07
"524,640","524,400","533,600","532,830",10820,2.07%,2023-04-26,1402/02/06
"516,080","515,800","522,100","522,010",5990,1.16%,2023-04-25,1402/02/05
"517,450","512,300","517,600","517,460",3410,0.66%,2023-04-23,1402/02/03
"517,100","513,800","517,100","514,050",2980,0.58%,2023-04-19,1402/01/30
"518,560","516,800","519,600","517,030",570,0.11%,2023-04-18,1402/01/29
"513,130","509,400","517,600","517,600",4550,0.89%,2023-04-17,1402/01/28
"511,640","511,300","517,700","513,050",1610,0.31%,2023-04-16,1402/01/27
"505,060","502,800","513,600","511,440",3040,0.60%,2023-04-15,1402/01/26
"511,990","506,800","512,060","508,400",580,0.11%,2023-04-14,1402/01/25
"509,430","507,510","510,600","508,980",960,0.19%,2023-04-12,1402/01/23
"508,870","505,820","513,600","508,020",4710,0.94%,2023-04-10,1402/01/21
"500,550","495,800","505,600","503,310",3410,0.68%,2023-04-09,1402/01/20
"507,030","499,800","508,600","499,900",7930,1.59%,2023-04-08,1402/01/19
"509,580","502,810","511,600","507,830",770,0.15%,2023-04-07,1402/01/18
"522,530","395,220","538,000","507,060",-,-,2023-04-06,1402/01/17
"500,300","498,810","507,100","507,060",890,0.18%,2023-04-05,1402/01/16
"508,030","505,320","513,100","507,950",150,0.03%,2023-04-04,1402/01/15
"515,070","496,340","515,100","507,800",7300,1.44%,2023-04-03,1402/01/14
"535,400","506,950","535,600","515,100",22900,4.45%,2023-04-02,1402/01/13
"538,000","538,000","538,000","538,000",78120,16.99%,2023-03-18,1401/12/27
"462,380","458,800","465,100","459,880",3560,0.78%,2023-03-17,1401/12/26
"452,940","448,300","456,600","456,320",4140,0.91%,2023-03-15,1401/12/24
"461,960","451,820","462,100","460,460",550,0.12%,2023-03-14,1401/12/23
"445,300","445,000","459,910","459,910",11740,2.62%,2023-03-13,1401/12/22
"433,300","433,000","450,300","448,170",15970,3.70%,2023-03-12,1401/12/21
"433,760","416,000","454,300","432,200",7000,1.62%,2023-03-11,1401/12/20
"473,440","438,700","473,600","439,200",47470,10.81%,2023-03-10,1401/12/19
"498,670","485,800","499,100","486,670",4680,0.96%,2023-03-08,1401/12/17
"502,675","395,220","514,000","491,350",-,-,2023-03-07,1401/12/16
"483,960","481,300","499,600","491,350",7540,1.53%,2023-03-06,1401/12/15
"498,000","493,830","503,590","498,890",2110,0.42%,2023-03-05,1401/12/14
"435,790","435,790","511,000","501,000",24000,4.79%,2023-03-04,1401/12/13
"448,160","448,160","448,160","525,000",78530,17.59%,2023-03-03,1401/12/12
"446,470","446,470","446,470","446,470",8320,1.90%,2023-03-01,1401/12/10
"438,150","438,150","438,150","438,150",4780,1.10%,2023-02-28,1401/12/09
"433,370","433,370","433,370","433,370",2450,0.57%,2023-02-27,1401/12/08
"430,920","430,920","430,920","430,920",4110,0.96%,2023-02-26,1401/12/07
"426,810","426,810","426,810","426,810",9220,2.21%,2023-02-25,1401/12/06
"417,590","417,590","417,590","417,590",590,0.14%,2023-02-24,1401/12/05
"417,000","417,000","417,000","417,000",1510,0.36%,2023-02-22,1401/12/03
"415,490","415,490","415,490","415,490",110,0.03%,2023-02-21,1401/12/02
"451,990","415,480","452,180","415,600",36420,8.76%,2023-02-20,1401/12/01
"452,070","451,980","452,180","452,020",30,0.01%,2023-02-19,1401/11/30
"451,180","451,100","452,180","452,050",930,0.21%,2023-02-18,1401/11/29
"451,205","395,220","451,290","451,120",-,-,2023-02-17,1401/11/28
"450,350","450,100","451,300","451,120",940,0.21%,2023-02-16,1401/11/27
"434,290","434,090","450,540","450,180",16070,3.70%,2023-02-14,1401/11/25
"434,010","434,000","434,390","434,110",20,-,2023-02-13,1401/11/24
"434,370","434,100","434,400","434,130",310,0.07%,2023-02-12,1401/11/23
"434,100","433,700","434,460","433,820",310,0.07%,2023-02-11,1401/11/22
"434,220","434,000","434,440","434,130",370,0.09%,2023-02-08,1401/11/19
"434,980","434,430","435,030","434,500",520,0.12%,2023-02-07,1401/11/18
"435,520","434,730","435,550","435,020",350,0.08%,2023-02-06,1401/11/17
